Level,Stream,Module,Day,Session,Topic,Learning_Outcome,Content_Description,Keywords,Duration_Hours,Prerequisites
5,Data Engineering,Module 3: Data Warehousing,1,Morning,Introduction to Data Warehousing,Understand data warehouse concepts and architecture,Overview of data warehousing OLTP vs OLAP dimensional modelling basics star schema introduction,data warehouse OLTP OLAP dimensional modelling star schema ETL,3.5,Database fundamentals SQL basics
5,Data Engineering,Module 3: Data Warehousing,1,Afternoon,Dimensional Modelling Fundamentals,Design basic dimensional models,Deep dive into facts and dimensions choosing grain identifying business processes,dimensional modelling facts dimensions grain business process,3.5,Morning session
5,Data Engineering,Module 3: Data Warehousing,2,Morning,Slowly Changing Dimensions,Implement SCD Types 1 2 and 3,Handling changing customer data address updates employee role changes historical tracking strategies,SCD slowly changing dimensions customer data address changes historical data Type 1 Type 2 Type 3 employee records,3.5,Dimensional modelling basics
5,Data Engineering,Module 3: Data Warehousing,2,Afternoon,Advanced Dimensional Design,Create complex dimensional models,Bridge tables role-playing dimensions junk dimensions degenerate dimensions,bridge tables role-playing dimensions junk dimensions degenerate dimensions complex modelling,3.5,SCD implementation
5,Data Engineering,Module 3: Data Warehousing,3,Morning,ETL Design Patterns,Design effective ETL processes,Extraction strategies transformation best practices loading techniques error handling,ETL extraction transformation loading data quality error handling staging,3.5,Dimensional design
5,Data Engineering,Module 3: Data Warehousing,3,Afternoon,Data Quality and Governance,Implement data quality measures,Data profiling cleansing rules validation frameworks governance policies,data quality data profiling cleansing validation governance data stewardship,3.5,ETL concepts
5,Data Engineering,Module 3: Data Warehousing,4,Morning,Performance Optimisation,Optimise warehouse performance,Indexing strategies partitioning aggregation tables query optimisation,performance indexing partitioning aggregation query optimisation tuning,3.5,Data quality concepts
5,Data Engineering,Module 3: Data Warehousing,4,Afternoon,Modern Data Architecture,Explore cloud and modern approaches,Data lakes lakehouse architecture cloud data warehousing real-time processing,data lake lakehouse cloud real-time modern architecture streaming,3.5,Performance concepts
4,Data Analyst,Module 2: Data Visualisation,1,Morning,Visualisation Principles,Apply effective visualisation principles,Chart selection colour theory cognitive load storytelling with data,visualisation charts colour theory storytelling cognitive load design principles,3.5,Basic data analysis
4,Data Analyst,Module 2: Data Visualisation,1,Afternoon,Power BI Fundamentals,Create basic Power BI reports,Power BI interface connecting data sources basic visuals formatting,Power BI reports data sources visuals formatting dashboard basics,3.5,Visualisation principles
